pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
381902059,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/log.xml,5160428,AProVE,20177,complexity,302122,complete,1124.77308862,292.761837006,1.62536448E10,"WORST_CASE(Omega(n^1), ?)",3867
381902085,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/log.xml,5160428,tct 2018-07-13,20651,tct_rc,304377,complete,781.058252536,295.331600904,1.8629226496E10,"WORST_CASE(Omega(n^1),?)",1976
381902111,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/round_nonterm.xml,5160429,AProVE,20177,complexity,302122,complete,3.19971332,1.5304710865,2.10530304E8,"WORST_CASE(NON_POLY, ?)",3711
381902136,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/round_nonterm.xml,5160429,tct 2018-07-13,20651,tct_rc,304377,complete,349.972139327,295.128788948,8.49887232E8,"WORST_CASE(Omega(n^1),?)",1557
381902161,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/parting05_maxsort.xml,5160430,AProVE,20177,complexity,302122,complete,309.040888022,291.896719933,5.303140352E9,"WORST_CASE(Omega(n^2), ?)",17747
381902186,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/parting05_maxsort.xml,5160430,tct 2018-07-13,20651,tct_rc,304377,complete,865.696389889,295.745913982,2.623594496E9,"WORST_CASE(Omega(n^1),?)",3028
381902211,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/parting03_minsort.xml,5160431,AProVE,20177,complexity,302122,complete,309.212007309,291.893763065,5.272543232E9,"WORST_CASE(Omega(n^2), ?)",17336
381902236,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/parting03_minsort.xml,5160431,tct 2018-07-13,20651,tct_rc,304377,complete,807.142288735,295.308887005,1.6930988032E10,"WORST_CASE(Omega(n^1),?)",2836
381902261,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/parting04_maxsort_h.xml,5160432,AProVE,20177,complexity,302122,complete,310.509029398,291.991099834,5.295374336E9,"WORST_CASE(Omega(n^2), ?)",21029
381902286,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/parting04_maxsort_h.xml,5160432,tct 2018-07-13,20651,tct_rc,304377,complete,738.063382839,295.335330009,5.294592E9,"WORST_CASE(Omega(n^1),?)",3192
381902311,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/thiemann40_modified.xml,5160433,AProVE,20177,complexity,302122,complete,306.966624208,291.439234972,5.7306112E9,"WORST_CASE(Omega(n^2), ?)",8510
381902334,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/thiemann40_modified.xml,5160433,tct 2018-07-13,20651,tct_rc,304377,complete,513.029327539,295.588418961,5.322145792E9,"WORST_CASE(Omega(n^1),?)",2058
381902357,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/parting01_reverse.xml,5160434,AProVE,20177,complexity,302122,complete,307.706880097,292.091144085,5.383491584E9,"WORST_CASE(Omega(n^2), ?)",13385
381902380,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/parting01_reverse.xml,5160434,tct 2018-07-13,20651,tct_rc,304377,complete,865.986118741,295.528203964,3.658678272E9,"WORST_CASE(Omega(n^1),?)",2508
381902403,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/round.xml,5160435,AProVE,20177,complexity,302122,complete,890.216791392,291.4982512,5.962498048E9,"WORST_CASE(Omega(n^1), O(n^1))",11308
381902426,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/round.xml,5160435,tct 2018-07-13,20651,tct_rc,304377,complete,371.942510126,295.124287128,4.245979136E9,"WORST_CASE(Omega(n^1),?)",1563
381902449,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/id_inc.xml,5160436,AProVE,20177,complexity,302122,complete,335.180260166,292.034727097,9.08822528E9,"WORST_CASE(Omega(n^1), ?),3755
381902472,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/id_inc.xml,5160436,tct 2018-07-13,20651,tct_rc,304377,timeout (wallclock)",629.656784785,295.089509964,1.9176853504E10,"WORST_CASE(Omega(n^1),?)",1914
381902495,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/parting02_doublelist.xml,5160437,AProVE,20177,complexity,302122,complete,311.889089767,291.883337975,5.406408704E9,"WORST_CASE(Omega(n^1), ?)",11914
381902518,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_08/parting02_doublelist.xml,5160437,tct 2018-07-13,20651,tct_rc,304377,complete,864.880645245,296.164026022,7.613894656E9,"WORST_CASE(Omega(n^1),?)",2622
381902060,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_07/thiemann14.xml,5160542,AProVE,20177,complexity,302122,complete,322.823740831,291.964957952,5.59224832E9,"WORST_CASE(Omega(n^2), ?)",19754
381902086,S-Runtime Complexity   Full Rewriting-2018-07-13 21:31:56.106279 UTC/Runtime_Complexity_Full_Rewriting/AProVE_07/thiemann14.xml,5160542,tct 2018-07-13,20651,tct_rc,304377,complete,657.704991703,295.117209911,1.7597321216E10,"WORST_CASE(Omega(n^1),?)",3244
