pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
381903977,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Waldmann_06/jwno4.xml,5167464,AProVE,20177,complexity,302122,complete,307.057322489,291.435571909,5.23692032E9,"WORST_CASE(Omega(n^1), ?)",2889
381904007,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Waldmann_06/jwno4.xml,5167464,tct 2018-07-13,20651,tct_rci,304379,complete,366.673631915,93.3756101131,1.609969664E9,"WORST_CASE(Omega(n^1),?)",1273
381904037,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Waldmann_06/jwmatchb2.xml,5167465,AProVE,20177,complexity,302122,complete,3.57875694,1.6448469162,1.90984192E8,"WORST_CASE(Omega(n^1), O(n^1))",4102
381904066,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Waldmann_06/jwmatchb2.xml,5167465,tct 2018-07-13,20651,tct_rci,304379,complete,3.173349344,1.40639209747,4.8115712E7,"WORST_CASE(Omega(n^1),O(n^1))",2810
381904095,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Waldmann_06/jwno6.xml,5167466,AProVE,20177,complexity,302122,complete,307.246050112,291.449773073,5.231337472E9,"WORST_CASE(Omega(n^1), ?)",2885
381904124,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Waldmann_06/jwno6.xml,5167466,tct 2018-07-13,20651,tct_rci,304379,complete,338.149545059,86.6265220642,1.610850304E9,"WORST_CASE(Omega(n^1),?)",1276
381904153,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Waldmann_06/jwmatchb1.xml,5167467,AProVE,20177,complexity,302122,complete,3.37370982,1.52536797523,2.1235712E8,"WORST_CASE(Omega(n^1), O(n^1))",4106
381904182,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Waldmann_06/jwmatchb1.xml,5167467,tct 2018-07-13,20651,tct_rci,304379,complete,3.308113249,1.8574860096,5.8884096E7,"WORST_CASE(Omega(n^1),O(n^1))",2593
381904211,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Waldmann_06/jwno1.xml,5167468,AProVE,20177,complexity,302122,complete,609.547618273,292.04023385,5.875085312E9,"WORST_CASE(Omega(n^1), ?)",2921
381904238,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Waldmann_06/jwno1.xml,5167468,tct 2018-07-13,20651,tct_rci,304379,complete,351.815661267,90.6523711681,2.64329216E9,"WORST_CASE(Omega(n^1),?)",1308
381903978,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Various_04/11.xml,5166923,AProVE,20177,complexity,302122,complete,3.236298603,1.56745409966,2.07388672E8,"WORST_CASE(?, O(1))",1398
381904008,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Various_04/11.xml,5166923,tct 2018-07-13,20651,tct_rci,304379,complete,829.260772218,214.067514181,2.265931776E9,MAYBE,679
381904038,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Various_04/24.xml,5166924,AProVE,20177,complexity,302122,complete,4.234627727,1.79050087929,3.13909248E8,"WORST_CASE(Omega(n^1), O(n^1))",4789
381904067,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Various_04/24.xml,5166924,tct 2018-07-13,20651,tct_rci,304379,complete,5.553281966,2.3576169014,5.5640064E7,"WORST_CASE(Omega(n^1),O(n^2))",3325
381904096,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Various_04/15.xml,5166925,AProVE,20177,complexity,302122,complete,4.925795215,1.99139904976,4.02919424E8,"WORST_CASE(Omega(n^1), O(n^1))",4855
381904125,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/Various_04/15.xml,5166925,tct 2018-07-13,20651,tct_rci,304379,run script error,0.0,0.0,0.0,--,-
