pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
381735886,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Hanoi_3vars_false-termination.c,5152652,AProVE,20177,c,302126,complete,23.438323624,7.11149501801,2.202714112E9,NO,4676
381735888,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Hanoi_3vars_false-termination.c,5152652,UltimateAutomizer,20354,default,303195,complete,9.578017655,4.31074905396,3.43502848E8,MAYBE,23688
381735890,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Hanoi_3vars_false-termination.c,5152652,VeryMax-termCOMP17,9339,termcomp17,165578,complete,140.193150568,61.4929859638,2.78339584E8,NO,27383
381735892,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/2Nested_false-termination.c,5152653,AProVE,20177,c,302126,complete,17.757161061,5.24184203148,1.385263104E9,NO,3493
381735894,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/2Nested_false-termination.c,5152653,UltimateAutomizer,20354,default,303195,complete,9.738261717,3.93981599808,3.79355136E8,MAYBE,22789
381735896,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/2Nested_false-termination.c,5152653,VeryMax-termCOMP17,9339,termcomp17,165578,complete,47.008111626,20.9748570919,2.64679424E8,NO,14306
381735898,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Cairo_nondet_false-termination.c,5152654,AProVE,20177,c,302126,complete,8.683044883,2.89709997177,6.81967616E8,NO,2436
381735900,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Cairo_nondet_false-termination.c,5152654,UltimateAutomizer,20354,default,303195,complete,9.09983486,4.33084893227,3.20851968E8,MAYBE,23688
381735902,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Cairo_nondet_false-termination.c,5152654,VeryMax-termCOMP17,9339,termcomp17,165578,complete,18.790948322,8.39126682281,2.50310656E8,NO,8136
381735904,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Bangalore_false-termination.c,5152655,AProVE,20177,c,302126,complete,10.774787606,3.30070400238,4.62495744E8,NO,2995
381735906,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Bangalore_false-termination.c,5152655,UltimateAutomizer,20354,default,303195,complete,8.629372668,3.85819411278,3.60996864E8,MAYBE,23692
381735908,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Bangalore_false-termination.c,5152655,VeryMax-termCOMP17,9339,termcomp17,165578,complete,5.47545768,4.24240684509,7.99744E7,NO,6741
381735910,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Singapore_plus_false-termination.c,5152656,AProVE,20177,c,302126,complete,17.650350488,5.21444201469,2.428645376E9,NO,4414
381735912,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Singapore_plus_false-termination.c,5152656,UltimateAutomizer,20354,default,303195,complete,9.929544167,5.11792492867,3.29637888E8,MAYBE,23684
381735914,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Singapore_plus_false-termination.c,5152656,VeryMax-termCOMP17,9339,termcomp17,165578,complete,46.887912446,20.9875321388,2.67309056E8,NO,13215
381735916,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Singapore_v2_false-termination.c,5152657,AProVE,20177,c,302126,run script error,0.0,0.0,0.0,--,-
381735918,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Singapore_v2_false-termination.c,5152657,UltimateAutomizer,20354,default,303195,complete,9.198050399,5.2086660862,3.84045056E8,MAYBE,22789
381735920,S-C Integer Programs-2018-07-12 01:17:10.81326 UTC/C_Integer/Ton_Chanh_15/Singapore_v2_false-termination.c,5152657,VeryMax-termCOMP17,9339,termcomp17,165578,complete,47.181501985,21.1310579777,2.66182656E8,NO,14709
