pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
381744035,S-Complexity   Integer Transition Systems-2018-07-12 01:21:32.977306 UTC/Complexity_ITS/Brockschmidt_16/c-examples/WTC/perfect.koat,5151820,CoFloCo 2018,20274,its,302760,complete,0.488546314,0.573432207108,9871360.0,"WORST_CASE(?,O(n^2))",8238
381744063,S-Complexity   Integer Transition Systems-2018-07-12 01:21:32.977306 UTC/Complexity_ITS/Brockschmidt_16/c-examples/WTC/perfect.koat,5151820,AProVE,20177,complexity,302122,complete,9.354548088,4.86372804642,4.2948608E8,"WORST_CASE(Omega(n^1), O(n^2))",12592
381744091,S-Complexity   Integer Transition Systems-2018-07-12 01:21:32.977306 UTC/Complexity_ITS/Brockschmidt_16/c-examples/WTC/realshellsort.koat,5151821,CoFloCo 2018,20274,its,302760,complete,1.165714754,1.24923300743,1.1698176E7,"WORST_CASE(?,O(n^3))",16362
381744113,S-Complexity   Integer Transition Systems-2018-07-12 01:21:32.977306 UTC/Complexity_ITS/Brockschmidt_16/c-examples/WTC/realshellsort.koat,5151821,AProVE,20177,complexity,302122,complete,12.639150987,6.46240401268,3.93699328E8,"WORST_CASE(Omega(n^1), O(n^3))",160067
381744135,S-Complexity   Integer Transition Systems-2018-07-12 01:21:32.977306 UTC/Complexity_ITS/Brockschmidt_16/c-examples/WTC/speedpldi3.koat,5151822,CoFloCo 2018,20274,its,302760,complete,0.351309811,0.436821937561,9277440.0,"WORST_CASE(?,O(n^2))",5080
381744154,S-Complexity   Integer Transition Systems-2018-07-12 01:21:32.977306 UTC/Complexity_ITS/Brockschmidt_16/c-examples/WTC/speedpldi3.koat,5151822,AProVE,20177,complexity,302122,complete,5.580921393,2.41932702065,3.22637824E8,"WORST_CASE(Omega(n^2), O(n^2))",60246
381744173,S-Complexity   Integer Transition Systems-2018-07-12 01:21:32.977306 UTC/Complexity_ITS/Brockschmidt_16/c-examples/WTC/realheapsort_step1.koat,5151823,CoFloCo 2018,20274,its,302760,complete,0.395218377,0.480839014053,9633792.0,"WORST_CASE(?,O(n^2))",6590
381744189,S-Complexity   Integer Transition Systems-2018-07-12 01:21:32.977306 UTC/Complexity_ITS/Brockschmidt_16/c-examples/WTC/realheapsort_step1.koat,5151823,AProVE,20177,complexity,302122,complete,22.897547881,16.8441879749,3.76242176E8,"WORST_CASE(?, O(n^2))",103392
381744205,S-Complexity   Integer Transition Systems-2018-07-12 01:21:32.977306 UTC/Complexity_ITS/Brockschmidt_16/c-examples/WTC/sipma91.koat,5151824,CoFloCo 2018,20274,its,302760,complete,0.448202733,0.533322095871,9273344.0,"WORST_CASE(?,O(n^1))",7540
381744219,S-Complexity   Integer Transition Systems-2018-07-12 01:21:32.977306 UTC/Complexity_ITS/Brockschmidt_16/c-examples/WTC/sipma91.koat,5151824,AProVE,20177,complexity,302122,complete,8.057594452,4.654266119,4.39873536E8,"WORST_CASE(Omega(n^1), O(n^2))",28745
