benchmark,solver,configuration,configuration id,status,result,wallclock time,cpu time,
  TRS_Standard/CiME_04/filliatre2.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/filliatre2.xml,AProVE,standard,302124,complete,YES,4.00,1.77,
TRS_Standard/CiME_04/filliatre2.xml,muterm 6.0.3,default,326595,complete,YES,0.10,0.10,
TRS_Standard/CiME_04/filliatre2.xml,NaTT,Default,228408,complete,YES,0.02,0.09,
TRS_Standard/CiME_04/filliatre2.xml,ttt2-1.19,ttt2,325890,complete,YES,2.65,1.00,
TRS_Standard/CiME_04/filliatre2.xml,Wanda 2.1c,default,326231,complete,YES,0.52,0.52,
TRS_Standard/CiME_04/tree.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/tree.xml,AProVE,standard,302124,complete,YES,5.72,3.57,
TRS_Standard/CiME_04/tree.xml,muterm 6.0.3,default,326595,complete,YES,0.25,0.23,
TRS_Standard/CiME_04/tree.xml,NaTT,Default,228408,complete,YES,2.03,2.12,
TRS_Standard/CiME_04/tree.xml,ttt2-1.19,ttt2,325890,complete,YES,17.52,5.19,
TRS_Standard/CiME_04/tree.xml,Wanda 2.1c,default,326231,complete,YES,1.42,1.62,
TRS_Standard/CiME_04/boolean_rings.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/boolean_rings.xml,AProVE,standard,302124,complete,YES,3.66,1.75,
TRS_Standard/CiME_04/boolean_rings.xml,muterm 6.0.3,default,326595,complete,YES,0.01,0.01,
TRS_Standard/CiME_04/boolean_rings.xml,NaTT,Default,228408,complete,YES,0.01,0.03,
TRS_Standard/CiME_04/boolean_rings.xml,ttt2-1.19,ttt2,325890,complete,YES,1.00,0.56,
TRS_Standard/CiME_04/boolean_rings.xml,Wanda 2.1c,default,326231,complete,YES,0.16,0.15,
TRS_Standard/CiME_04/intersect.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/intersect.xml,AProVE,standard,302124,complete,YES,4.18,1.93,
TRS_Standard/CiME_04/intersect.xml,muterm 6.0.3,default,326595,complete,YES,0.09,0.08,
TRS_Standard/CiME_04/intersect.xml,NaTT,Default,228408,complete,YES,0.03,0.05,
TRS_Standard/CiME_04/intersect.xml,ttt2-1.19,ttt2,325890,complete,YES,3.85,1.38,
TRS_Standard/CiME_04/intersect.xml,Wanda 2.1c,default,326231,complete,YES,0.45,1.18,
TRS_Standard/CiME_04/append-hard.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/append-hard.xml,AProVE,standard,302124,complete,YES,4.66,2.02,
TRS_Standard/CiME_04/append-hard.xml,muterm 6.0.3,default,326595,complete,YES,0.07,0.07,
TRS_Standard/CiME_04/append-hard.xml,NaTT,Default,228408,complete,YES,0.02,0.05,
TRS_Standard/CiME_04/append-hard.xml,ttt2-1.19,ttt2,325890,complete,YES,6.23,1.16,
TRS_Standard/CiME_04/append-hard.xml,Wanda 2.1c,default,326231,complete,MAYBE,0.28,0.29,
TRS_Standard/CiME_04/ack_prolog.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/ack_prolog.xml,AProVE,standard,302124,complete,YES,3.79,1.74,
TRS_Standard/CiME_04/ack_prolog.xml,muterm 6.0.3,default,326595,complete,YES,0.01,0.01,
TRS_Standard/CiME_04/ack_prolog.xml,NaTT,Default,228408,complete,YES,0.02,0.05,
TRS_Standard/CiME_04/ack_prolog.xml,ttt2-1.19,ttt2,325890,complete,YES,1.14,0.62,
TRS_Standard/CiME_04/ack_prolog.xml,Wanda 2.1c,default,326231,complete,YES,0.15,0.15,
TRS_Standard/CiME_04/ternary-hard.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/ternary-hard.xml,AProVE,standard,302124,complete,YES,9.68,2.15,
TRS_Standard/CiME_04/ternary-hard.xml,muterm 6.0.3,default,326595,complete,YES,0.88,0.96,
TRS_Standard/CiME_04/ternary-hard.xml,NaTT,Default,228408,complete,YES,0.03,0.10,
TRS_Standard/CiME_04/ternary-hard.xml,ttt2-1.19,ttt2,325890,complete,YES,8.12,2.61,
TRS_Standard/CiME_04/ternary-hard.xml,Wanda 2.1c,default,326231,complete,YES,0.62,1.69,
TRS_Standard/CiME_04/filliatre.xml,NTI,default,325861,timeout (wallclock),
TRS_Standard/CiME_04/filliatre.xml,AProVE,standard,302124,complete,YES,4.73,1.92,
TRS_Standard/CiME_04/filliatre.xml,muterm 6.0.3,default,326595,complete,YES,0.09,0.10,
